[local] 1 -5 -4 0.664618 (best c=2.0, g=0.00390625, p=0.00390625, corr_coef=0.610898)
[local] 1 -5 -6 0.664541 (best c=2.0, g=0.00390625, p=0.00390625, corr_coef=0.610898)
[local] 1 -5 -2 0.664712 (best c=2.0, g=0.00390625, p=0.00390625, corr_coef=0.610898)
[local] 1 -5 -7 0.664523 (best c=2.0, g=0.00390625, p=0.00390625, corr_coef=0.610898)
[local] 1 -5 -3 0.664759 (best c=2.0, g=0.00390625, p=0.00390625, corr_coef=0.610898)
[local] 1 -5 -1 0.664923 (best c=2.0, g=0.00390625, p=0.00390625, corr_coef=0.610898)
[local] 1 -5 -5 0.664603 (best c=2.0, g=0.00390625, p=0.00390625, corr_coef=0.610898)
[local] 1 -5 -8 0.664509 (best c=2.0, g=0.00390625, p=0.00390625, corr_coef=0.610898)
[local] 5 -4 -4 0.773805 (best c=2.0, g=0.00390625, p=0.00390625, corr_coef=0.610898)
[local] 5 -4 -2 0.77392 (best c=2.0, g=0.00390625, p=0.00390625, corr_coef=0.610898)
[local] 5 -4 -6 0.773771 (best c=2.0, g=0.00390625, p=0.00390625, corr_coef=0.610898)
[local] 5 -4 -3 0.773774 (best c=2.0, g=0.00390625, p=0.00390625, corr_coef=0.610898)
[local] 5 -4 -7 0.773795 (best c=2.0, g=0.00390625, p=0.00390625, corr_coef=0.610898)
[local] 5 -4 -1 0.774364 (best c=2.0, g=0.00390625, p=0.00390625, corr_coef=0.610898)
[local] 5 -4 -5 0.773771 (best c=2.0, g=0.00390625, p=0.00390625, corr_coef=0.610898)
[local] 5 -4 -8 0.773806 (best c=2.0, g=0.00390625, p=0.00390625, corr_coef=0.610898)
[local] 5 -2 -4 0.838348 (best c=2.0, g=0.00390625, p=0.00390625, corr_coef=0.610898)
[local] 5 -2 -6 0.838202 (best c=2.0, g=0.00390625, p=0.00390625, corr_coef=0.610898)
[local] 5 -2 -2 0.838898 (best c=2.0, g=0.00390625, p=0.00390625, corr_coef=0.610898)
[local] 5 -2 -7 0.838175 (best c=2.0, g=0.00390625, p=0.00390625, corr_coef=0.610898)
[local] 5 -2 -3 0.838544 (best c=2.0, g=0.00390625, p=0.00390625, corr_coef=0.610898)
[local] 5 -2 -1 0.839533 (best c=2.0, g=0.00390625, p=0.00390625, corr_coef=0.610898)
[local] 5 -2 -5 0.838255 (best c=2.0, g=0.00390625, p=0.00390625, corr_coef=0.610898)
[local] 5 -7 -4 0.680647 (best c=2.0, g=0.00390625, p=0.00390625, corr_coef=0.610898)
[local] 5 -2 -8 0.838158 (best c=2.0, g=0.00390625, p=0.00390625, corr_coef=0.610898)
[local] 5 -7 -2 0.681066 (best c=2.0, g=0.00390625, p=0.00390625, corr_coef=0.610898)
[local] 5 -7 -6 0.680659 (best c=2.0, g=0.00390625, p=0.00390625, corr_coef=0.610898)
[local] 5 -7 -7 0.680688 (best c=2.0, g=0.00390625, p=0.00390625, corr_coef=0.610898)
[local] 5 -7 -3 0.680802 (best c=2.0, g=0.00390625, p=0.00390625, corr_coef=0.610898)
[local] 5 -7 -1 0.681744 (best c=2.0, g=0.00390625, p=0.00390625, corr_coef=0.610898)
[local] 5 -7 -5 0.680655 (best c=2.0, g=0.00390625, p=0.00390625, corr_coef=0.610898)
[local] 5 -7 -8 0.680692 (best c=2.0, g=0.00390625, p=0.00390625, corr_coef=0.610898)
[local] 5 -1 -4 0.863043 (best c=2.0, g=0.00390625, p=0.00390625, corr_coef=0.610898)
[local] 5 -1 -6 0.862859 (best c=2.0, g=0.00390625, p=0.00390625, corr_coef=0.610898)
[local] 5 -1 -2 0.863327 (best c=2.0, g=0.00390625, p=0.00390625, corr_coef=0.610898)
[local] 5 -1 -7 0.862833 (best c=2.0, g=0.00390625, p=0.00390625, corr_coef=0.610898)
[local] 5 -1 -3 0.863137 (best c=2.0, g=0.00390625, p=0.00390625, corr_coef=0.610898)
[local] 5 -1 -1 0.86375 (best c=2.0, g=0.00390625, p=0.00390625, corr_coef=0.610898)
[local] 5 -1 -5 0.862937 (best c=2.0, g=0.00390625, p=0.00390625, corr_coef=0.610898)
[local] 5 -6 -4 0.700009 (best c=2.0, g=0.00390625, p=0.00390625, corr_coef=0.610898)
[local] 5 -1 -8 0.86282 (best c=2.0, g=0.00390625, p=0.00390625, corr_coef=0.610898)
[local] 5 -6 -6 0.700009 (best c=2.0, g=0.00390625, p=0.00390625, corr_coef=0.610898)
